id,x,y
10,36306,14036
10,36327,14036
10,36348,14036
10,36369,14036
10,36380,14025
10,36390,14004
10,36401,13983
10,36411,13962
10,36422,13941
10,36422,13910
10,36422,13868
10,36422,13836
10,36422,13815
10,36432,13805
10,36443,13784
10,36443,13752
10,36443,13721
10,36443,13689
10,36453,13657
10,36464,13615
10,36464,13584
10,36464,13563
10,36453,13552
10,36432,13552
10,36401,13563
10,36359,13573
10,36327,13573
10,36306,13584
10,36274,13594
10,36243,13594
10,36222,13594
10,36201,13594
10,36169,13594
10,36127,13594
10,36096,13594
10,36075,13594
10,36054,13594
10,36022,13605
10,36001,13626
10,35991,13636
10,35980,13647
10,35970,13678
10,35959,13710
10,35959,13731
10,35949,13752
10,35938,13773
10,35938,13794
10,35938,13815
10,35949,13836
10,35970,13857
10,35991,13878
10,36012,13899
10,36022,13910
11,18663,29690
11,18663,29701
11,18673,29732
11,18694,29764
11,18705,29785
11,18705,29806
11,18715,29816
11,18726,29827
11,18726,29848
11,18736,29858
11,18757,29858
11,18789,29858
11,18820,29858
11,18841,29858
11,18862,29858
11,18883,29858
11,18904,29858
11,18925,29858
11,18946,29858
11,18957,29848
11,18957,29827
11,18967,29816
11,18978,29795
11,18988,29764
11,18999,29743
11,18999,29722
11,19009,29711
11,19020,29701
11,19009,29669
11,18988,29648
11,18967,29638
11,18957,29617
11,18946,29585
11,18936,29554
11,18925,29543
11,18904,29543
11,18894,29533
11,18883,29522
11,18862,29512
11,18841,29501
11,18820,29501
11,18799,29501
11,18778,29501
11,18757,29501
11,18747,29512
11,18736,29533
11,18726,29564
11,18715,29585
11,18694,29596
11,18684,29617
11,18684,29638
11,18684,29659
11,18694,29680
11,18705,29690
