id,x,y,label
1,30097,16035,Tumor tissue
1,30097,16092,Tumor tissue
1,30097,16126,Tumor tissue
1,30097,16171,Tumor tissue
1,30097,16239,Tumor tissue
1,30086,16319,Tumor tissue
1,30063,16432,Tumor tissue
1,30041,16546,Tumor tissue
1,30018,16648,Tumor tissue
1,29995,16784,Tumor tissue
1,29950,16943,Tumor tissue
1,29904,17101,Tumor tissue
1,29870,17249,Tumor tissue
1,29802,17396,Tumor tissue
1,29734,17533,Tumor tissue
1,29700,17612,Tumor tissue
1,29689,17646,Tumor tissue
1,29689,17669,Tumor tissue
1,29689,17691,Tumor tissue
1,29677,17737,Tumor tissue
1,29655,17794,Tumor tissue
1,29632,17839,Tumor tissue
1,29609,17896,Tumor tissue
1,29587,17952,Tumor tissue
1,29575,18009,Tumor tissue
1,29564,18066,Tumor tissue
1,29541,18100,Tumor tissue
1,29530,18134,Tumor tissue
1,29518,18168,Tumor tissue
1,29507,18191,Tumor tissue
1,29507,18213,Tumor tissue
1,29496,18247,Tumor tissue
1,29473,18304,Tumor tissue
1,29450,18395,Tumor tissue
1,29416,18486,Tumor tissue
1,29382,18565,Tumor tissue
1,29360,18667,Tumor tissue
1,29326,18769,Tumor tissue
1,29280,18849,Tumor tissue
1,29246,18917,Tumor tissue
1,29212,19008,Tumor tissue
1,29178,19087,Tumor tissue
1,29155,19144,Tumor tissue
1,29133,19189,Tumor tissue
1,29110,19246,Tumor tissue
1,29076,19337,Tumor tissue
1,29030,19405,Tumor tissue
1,29008,19462,Tumor tissue
1,28985,19530,Tumor tissue
1,28951,19586,Tumor tissue
1,28928,19632,Tumor tissue
1,28906,19688,Tumor tissue
1,28883,19757,Tumor tissue
1,28860,19813,Tumor tissue
1,28826,19859,Tumor tissue
1,28792,19915,Tumor tissue
1,28769,19972,Tumor tissue
1,28747,20029,Tumor tissue
1,28724,20086,Tumor tissue
1,28690,20142,Tumor tissue
1,28667,20188,Tumor tissue
1,28656,20222,Tumor tissue
1,28622,20278,Tumor tissue
1,28599,20324,Tumor tissue
1,28588,20369,Tumor tissue
1,28577,20415,Tumor tissue
1,28565,20437,Tumor tissue
1,28554,20471,Tumor tissue
1,28554,20539,Tumor tissue
1,28554,20630,Tumor tissue
1,28542,20721,Tumor tissue
1,28531,20823,Tumor tissue
1,28531,20948,Tumor tissue
1,28531,21061,Tumor tissue
1,28531,21152,Tumor tissue
1,28531,21209,Tumor tissue
1,28531,21266,Tumor tissue
1,28542,21436,Tumor tissue
1,28577,21663,Tumor tissue
1,28611,21890,Tumor tissue
1,28633,22139,Tumor tissue
1,28667,22423,Tumor tissue
1,28690,22695,Tumor tissue
1,28701,22945,Tumor tissue
1,28724,23149,Tumor tissue
1,28735,23285,Tumor tissue
1,28747,23421,Tumor tissue
1,28758,23546,Tumor tissue
1,28769,23660,Tumor tissue
1,28781,23773,Tumor tissue
1,28781,23887,Tumor tissue
1,28804,23989,Tumor tissue
1,28838,24091,Tumor tissue
